Total Enrolment in Mainstream National Schools for the 2024/2025 school year (enrolment is as of 30th September 2024),,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year (Enrolment),Roll Number,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),County Description,Eircode,School Latitude,School Longitude,School Planning Area,Email,Phone No.,Principal Name,Local Authority Description,School Type,School Level,DEIS (Y/N),Irish Classification Description,Gaeltacht Indicator (Y/N),Island (Y/N),Ethos Description,Patron,Female,Male,Enrolment per Return
2024,00359V,ST. LOUIS GIRLS NATIONAL SCHOOL,Park Road,Monaghan,,,Monaghan,H18HK31,54.245607,-6.976626,Monaghan,principal@stlouisgns.com,04781305,Marietta Graham Reynolds (acting),Monaghan County Council,Ordinary,Senior,Y,No subjects through Irish,N,N,Catholic,Bishop of Clogher,201,,201
2024,00373P,DERAVOY NATIONAL SCHOOL,Deravoy,Emyvale,Co. Monaghan,,Monaghan,H18PY11,54.356397,-7.024314,Monaghan,deravoyns@gmail.com,04787755,Sheenagh Currie,Monaghan County Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Catholic,Bishop of Clogher,32,43,75
2024,00467B,BALLINSPITTLE N S,Ballycatten,Ballinspittle,Co. Cork,,Cork,P17FN27,51.664166,-8.596099,Kinsale,secretary@ballinspittlens.ie,0214778239,Mrs. Sheila Wall,Cork County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Cork & Ross,90,94,184
2024,00512D,MIDLETON CONVENT N S,Midleton,Co. Cork,,,Cork,P25R248,51.908214,-8.164152,Midleton_Carrigtwohill,scoilbhridemidleton@gmail.com,0214631593,Seamus O'Connor,Cork County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Cloyne,241,47,288
2024,00538V,CLOCHAR DAINGEAN,An Phríomhsráid Uachtarach,Daingean Uí Chúis,Co. Chiarraí,,Kerry,V92AD76,52.142211,-10.270384,Dingle,bscd01@gmail.com,0669151154,Micheál Ó Muircheartaigh,Kerry County Council,Ordinary,All Through,N,All subjects through Irish,Y,N,Catholic,Bishop of Kerry,110,28,138
2024,00606M,MONARD N S,Monard,Solohead,Co. Tipperary,,Tipperary,E34VF97,52.510934,-8.224356,Tipperary,info@monardns.com,06247557,Mary O'Dwyer,Tipperary (Sr) County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Cashel & Emly,56,52,108
2024,00651R,BORRIS MXD N S,Lower Main Street,Borris,Co. Carlow,,Carlow,R95RH6F,52.599655,-6.920434,Borris,pcoady@borrisns.com,0599773402,Pat Coady,Carlow County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Kildare & Leighlin,94,104,198
2024,00697S,ST BRIGIDS MXD N S,Beechpark Lawn,Castleknock,Dublin 15,,Dublin,D15P820,53.375089,-6.362184,Castleknock_D15,principal@saintbrigids.ie,018214040,Nicola Fay,Fingal County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,410,468,878
2024,00714P,LUCAN B N S,Chapel Hill,Lucan,Co. Dublin,,Dublin,K78YD27,53.359552,-6.443593,Lucan,info@stmarysbnslucan.com,016281857,Dara Burke,South Dublin County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,,515,515
2024,00729F,CLOCHAR LORETO N S,Grange Road,Rathfarnham,Dublin 14,,Dublin,D14YY28,53.291279,-6.278829,Ballinteer_Stepaside_DLR,info@loretograngeroad.ie,014931640,Ms Mairéad Byrne,South Dublin County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,463,5,468
2024,00752A,CENTRAL SENIOR MXD N S,Marlborough Street,Dublin 1,,,Dublin,D01P027,53.351488,-6.256009,Drumcondra_Marino_Dublin1,info@centralmodelseniorschool.ie,018788103,Deirdre Gartland,Dublin City Council,Ordinary,Senior,Y,No subjects through Irish,N,N,Catholic,Minister for Education & Skills,124,118,242
2024,00779U,PRESENTATION GIRLS PRIMARY SCHOOL,Main St,Maynooth,Co. Kildare,,Kildare,W23X0C6,53.383169,-6.58775,Maynooth,info@presgirlsmaynooth.ie,016286034,Cora McGorry,Kildare County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,628,5,633
2024,00788V,LISDOWNEY N S,Lisdowney,Ballyragget,Co. Kilkenny,,Kilkenny,R95XD45,52.788918,-7.388373,Castlecomer,principal@lisdowneyns.ie,0568833495,Thomas Percy,Kilkenny County Council,Ordinary with Special Classes,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Ossory,51,48,99
2024,00796U,SCOIL LACHTAIN,Freshford,Co. Kilkenny,,,Kilkenny,R95RP20,52.731102,-7.396559,Kilkenny,stlachtainns@gmail.com,0568832400,Brendan Tynan,Kilkenny County Council,Ordinary with Special Classes,All Through,Y,No subjects through Irish,N,N,Catholic,Bishop of Ossory,90,111,201
2024,00851C,PRESENTATION CONVENT,Ballymakenny Road,Drogheda,Co. Louth,,Louth,A92E296,53.72987,-6.343604,Drogheda,presentationprimary@yahoo.com,0419837119,Nora Molloy,Louth County Council,Ordinary,All Through,Y,No subjects through Irish,N,N,Catholic,Archbishop of Armagh,236,114,350
2024,00856M,SCOIL NAOMH MICHEAL,St. Mel's Road,Longford,,,Longford,N39AX75,53.729496,-7.795222,Longford_Newtownforbes,stmichaelsbns@gmail.com,0433345536,Nora Horan,Longford County Council,Ordinary,Senior,Y,No subjects through Irish,N,N,Catholic,Bishop of Ardagh & Clonmacnoise,,234,234
2024,00860D,FORGNEY N S,Cloncallow,Ballymahon,Co. Longford,,Longford,N39TW52,53.557417,-7.722174,Ballymahon,forgneyschool@gmail.com,0906452659,Claire Tyther,Longford County Council,Ordinary,All Through,N,No subjects through Irish,N,N,Catholic,Bishop of Meath,9,13,22
2024,00883P,AINE NAOFA N S,Fairgreen,Navan,Co. Meath,,Meath,C15E208,53.651115,-6.685878,Navan,office@stannesnavan.ie,0469023039,Miriam McCabe,Meath County Council,Ordinary with Special Classes,All Through,Y,No subjects through Irish,N,N,Catholic,Bishop of Meath,157,147,304
2024,00885T,RATOATH JUNIOR N S,Fairyhouse Road,Ratoath,Co. Meath,,Meath,A85P296,53.503101,-6.466391,Ratoath,office@ratoathjuniorns.ie,018256639,Miriam Fox,Meath County Council,Ordinary with Special Classes,Junior,N,No subjects through Irish,N,N,Catholic,Bishop of Meath,124,120,244
