Academic Year,Roll Number,Official School Name,Address 1,Address 2,Address 3,Address 4,Eircode,School Latitude,School Longitude,School Planning area,County,Local Authority,Principal Name,Email,Phone,Ethos/Religion,Patron,Post Primary School Type,Irish Classification - Post Primary,School Gender - Post Primary,Pupil Attendance Type,Fee Paying School (Y/N),Island Location (Y/N),Gaeltacht Area Location (Y/N),DEIS (Y/N),FEMALE,MALE,Total 2024-2025
2024,60010P,Loreto Secondary School,Brick Lane,Balbriggan,Co Dublin,,K32R248,53.612259,-6.185114,Balbriggan,Dublin,Fingal County Council,MS. ANN M MCDONOUGH,office@loretobalbriggan.ie,018411594,CATHOLIC,Loreto Education Trust,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,1232,,"1,232"
2024,60021U,St Marys Secondary School,Main Street,Baldoyle,Dublin 13,,D13W208,53.396912,-6.127654,Donaghmede_Howth_D13,Dublin,Fingal County Council,MS. EDEL GREENE,info@stmarysbaldoyle.org,018325591,CATHOLIC,Religious Sisters of Charity,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,N,232,10,242
2024,60030V,Blackrock College,Blackrock College,Rock Road,Co. Dublin,,A94FK84,53.303651,-6.190339,Booterstown_Blackrock,Dublin,Dun Laoghaire Rathdown,MS. YVONNE MARKEY,ymarkey@blackrockcollege.com,012752100,CATHOLIC,The Spiritan Education Trust,Secondary,No subjects taught through Irish,Boys,Mixed,Y,N,N,N,,1053,"1,053"
2024,60040B,Willow Park School,Rock Road,Blackrock,Co Dublin,,A94TW98,53.306045,-6.195357,Booterstown_Blackrock,Dublin,Dun Laoghaire Rathdown,MR. ALAN JAMES THOMAS ROGAN,arogan@willowparkschool.ie,012881651,CATHOLIC,The Spiritan Education Trust,Secondary,No subjects taught through Irish,Boys,Mixed,Y,N,N,N,,208,208
2024,60041D,Coláiste Eoin,Baile an Bhóthair,Bóthair Stigh Lorgan,Co. Átha Cliath,,A94E122,53.302626,-6.204946,Booterstown_Blackrock,Dublin,Dun Laoghaire Rathdown,MR. P.S DE POIRE,ce@eoiniosagain.ie,012884002,CATHOLIC,Edmund Rice Schools Trust,Secondary,All pupils taught all subjects through Irish,Boys,Day,N,N,N,N,,510,510
2024,60042F,Coláiste Íosagáin,Bóthar Stigh Lorgan,Baile an Bhóthair,An Charraig Dhubh,Co Átha Cliath,A94KV12,53.3024,-6.204077,Booterstown_Blackrock,Dublin,Dun Laoghaire Rathdown,MR. SEAN DELAP,eolas@eoiniosagain.ie,012884028,CATHOLIC,Edmund Rice Schools Trust,Secondary,All pupils taught all subjects through Irish,Girls,Day,N,N,N,N,488,,488
2024,60050E,Oatlands College,Mount Merrion,Co Dublin,,,A94HX38,53.292484,-6.202492,Dunlaoghaire,Dublin,Dun Laoghaire Rathdown,MS. CAROLINE GARRETT,cgarrett@oatlands.net,012888533,CATHOLIC,Edmund Rice Schools Trust,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,,634,634
2024,60070K,Dominican College,Dominican College Sion Hill,Cross Avenue,Blackrock,Co Dublin,A94TP97,53.301595,-6.189684,Booterstown_Blackrock,Dublin,Dun Laoghaire Rathdown,MS. ORLA CONDREN,admin@sionhillcollege.ie,012886791,CATHOLIC,Le Chéile Schools Trust ,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,508,,508
2024,60081P,Rockford Manor Secondary School,Stradbrook Rd,Blackrock,Co Dublin,,A94H294,53.287059,-6.163012,Dunlaoghaire,Dublin,Dun Laoghaire Rathdown,MS. MARY GALLAGHER,info@rockfordmanor.ie,01 2801522,CATHOLIC,CEIST ,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,285,,285
2024,60090Q,Rathdown School,Upper Glenageary Road,Glenageary,Co. Dublin,,A96NX44,53.276457,-6.129831,Sallynoggin_Killiney_DLR,Dublin,Dun Laoghaire Rathdown,BRIAN MOORE,admin@rathdownschool.ie,012853133,CHURCH OF IRELAND,Board of Governors of Rathdown School,Secondary,No subjects taught through Irish,Mixed,Mixed,Y,N,N,N,273,76,349
2024,60092U,Clonkeen College,Clonkeen Road,Blackrock,Co Dublin,,A94P206,53.269829,-6.15734,Sallynoggin_Killiney_DLR,Dublin,Dun Laoghaire Rathdown,MR. EDWARD MELLY,reception@clonkeencollege.ie,012892709,CATHOLIC,Edmund Rice Schools Trust,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,,630,630
2024,60100Q,Castleknock College,College Rd,Castleknock,Dublin 15,,D15PD95,53.368411,-6.36861,Castleknock_D15,Dublin,Fingal County Council,MR. CHRISTOPHER WILLIAM KINDER,headmasterpa@castleknockcollege.ie,018213051,CATHOLIC,Congregation of the Missions (Vincentians),Secondary,No subjects taught through Irish,Boys,Day,Y,N,N,N,,775,775
2024,60120W,Mount Sackville Secondary School,Tower Road,Chapelizod,Dublin 20,,D20WP68,53.359833,-6.357088,Castleknock_D15,Dublin,Fingal County Council,MRS. EILEEN HIGGINS,info@mountsackville.ie,018213317,CATHOLIC,Le Chéile Schools Trust ,Secondary,No subjects taught through Irish,Girls,Day,Y,N,N,N,654,,654
2024,60121B,Moyle Park College,Clondalkin,Dublin 22,,,D22V072,53.320279,-6.397356,Clondalkin_D22,Dublin,South Dublin County Council,MS. NIAMH CAHALANE,info@moyleparkcollege.com,014574837,CATHOLIC,Marist Brothers (Province of West Central Europe),Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,,766,766
2024,60122D,Coláiste Bríde,New Road,Clondalkin,Dublin 22,,D22C6Y2,53.317418,-6.38961,Clondalkin_D22,Dublin,South Dublin County Council,MISS MARIE THERESE KILMARTIN,info@colaistebride.com,014591158,CATHOLIC,CEIST ,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,962,,962
2024,60130C,Loreto Abbey Secondary School,Dalkey,Co Dublin,,,A96YC81,53.279522,-6.09983,Dunlaoghaire,Dublin,Dun Laoghaire Rathdown,MR. ROBERT DUNNE,office@loretoabbeydalkey.ie,012718900,CATHOLIC,Loreto Education Trust,Secondary,No subjects taught through Irish,Girls,Day,Y,N,N,N,742,,742
2024,60140F,Mount Anville Secondary School,Mount Anville Road,Dublin 14,,,D14A8P3,53.29328,-6.222606,Goatstown_Stillorgan_DLR,Dublin,Dun Laoghaire Rathdown,MS. SINEAD NOLAN,office@mountanville.ie,012885313,CATHOLIC,Mount Anville Sacred Heart Education Trust ,Secondary,No subjects taught through Irish,Girls,Day,Y,N,N,N,712,,712
2024,60180R,Christian Brothers College,Monkstown Park,Dun Laoghaire,Co Dublin,,A96TF64,53.289767,-6.148051,Dunlaoghaire,Dublin,Dun Laoghaire Rathdown,MR. GERARD DUFFY,office@cbcmonkstown.ie,012805854,CATHOLIC,Edmund Rice Schools Trust,Secondary,No subjects taught through Irish,Boys,Day,Y,N,N,N,,564,564
2024,60240J,Loreto College Foxrock,Springfield Park,Foxrock,Dublin 18,,D18FT21,53.272796,-6.176827,Sallynoggin_Killiney_DLR,Dublin,Dun Laoghaire Rathdown,MRS. BERNADETTE PRENDIVILLE,admin@loretofoxrock.ie,012895637,CATHOLIC,Loreto Education Trust,Secondary,No subjects taught through Irish,Girls,Day,Y,N,N,N,637,,637
2024,60250M,Holy Child Killiney,Military Road,Killiney,Co. Dublin,,A96XP82,53.252851,-6.114771,Ballybrack_Shankill_DLR,Dublin,Dun Laoghaire Rathdown,MISS DEIRDRE MARIE HICKEY,admin@holychildkilliney.ie,012823120,CATHOLIC,Le Chéile Schools Trust ,Secondary,No subjects taught through Irish,Girls,Day,Y,N,N,N,395,,395
