,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year,Roll Number,Official School Name,Address 1,Address 2,Address 3,Address 4,County,Eircode,School Latitude,School Longitude,School Planning area,Local Authority,Principal Name,Email,Phone,Pupil Attendance Type,School Gender - Post Primary,Post Primary School Type,Fee Paying School (Y/N),DEIS (Y/N),Gaeltacht Area Location (Y/N),Island Location (Y/N),Irish Classification - Post Primary,Ethos/Religion,FEMALE,MALE,Total 2025-2026
2025,60010P,Loreto Secondary School,Brick Lane,Balbriggan,Co Dublin,,Dublin,K32R248,53.612259,-6.185114,Balbriggan,Fingal County Council,MS. NIAMH MCNALLY,office@loretobalbriggan.ie,018411594,Day,Girls,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,1220,0,"1,220"
2025,60021U,St Marys Secondary School,Main Street,Baldoyle,Dublin 13,,Dublin,D13W208,53.396912,-6.127654,Donaghmede_Howth_D13,Fingal County Council,MS. EDEL GREENE,info@stmarysbaldoyle.org,018325591,Day,Mixed,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,209,21,230
2025,60030V,Blackrock College,Blackrock College,Rock Road,Co. Dublin,,Dublin,A94FK84,53.303651,-6.190339,Booterstown_Blackrock,Dun Laoghaire Rathdown,MS. YVONNE MARKEY,ymarkey@blackrockcollege.com,012752100,Mixed,Boys,Secondary,Y,N,N,N,No subjects taught through Irish,CATHOLIC,0,1041,"1,041"
2025,60040B,Willow Park School,Rock Road,Blackrock,Co Dublin,,Dublin,A94TW98,53.306045,-6.195357,Booterstown_Blackrock,Dun Laoghaire Rathdown,MR. ALAN JAMES THOMAS ROGAN,arogan@willowparkschool.ie,012881651,Mixed,Boys,Secondary,Y,N,N,N,No subjects taught through Irish,CATHOLIC,0,206,206
2025,60041D,Coláiste Eoin,Baile an Bhóthair,Bóthair Stigh Lorgan,Co. Átha Cliath,,Dublin,A94E122,53.302626,-6.204946,Booterstown_Blackrock,Dun Laoghaire Rathdown,UAS. PADRAIG MCDONNCHA,ce@eoiniosagain.ie,012884002,Day,Boys,Secondary,N,N,N,N,All pupils taught all subjects through Irish,CATHOLIC,0,517,517
2025,60042F,Coláiste Íosagáin,Bóthar Stigh Lorgan,Baile an Bhóthair,An Charraig Dhubh,Co Átha Cliath,Dublin,A94KV12,53.3024,-6.204077,Booterstown_Blackrock,Dun Laoghaire Rathdown,TREASA NI FHEARRAIGH,eolas@eoiniosagain.ie,012884028,Day,Girls,Secondary,N,N,N,N,All pupils taught all subjects through Irish,CATHOLIC,488,0,488
2025,60050E,Oatlands College,Mount Merrion,Co Dublin,,,Dublin,A94HX38,53.292484,-6.202492,Dunlaoghaire,Dun Laoghaire Rathdown,MS. CAROLINE GARRETT,cgarrett@oatlands.net,012888533,Day,Boys,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,0,623,623
2025,60070K,Dominican College,Dominican College Sion Hill,Cross Avenue,Blackrock,Co Dublin,Dublin,A94TP97,720663.523540256,53.301595,Booterstown_Blackrock,Dun Laoghaire Rathdown,MS. ORLA CONDREN,admin@sionhillcollege.ie,015722113,Day,Girls,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,521,0,521
2025,60081P,Rockford Manor Secondary School,Stradbrook Rd,Blackrock,Co Dublin,,Dublin,A94H294,53.287059,-6.163012,Dunlaoghaire,Dun Laoghaire Rathdown,MS. MARY GALLAGHER,info@rockfordmanor.ie,01 2801522,Day,Girls,Secondary,N,N,N,N,No subjects taught through Irish,CATHOLIC,273,0,273
2025,60090Q,Rathdown School,Upper Glenageary Road,Glenageary,Co. Dublin,,Dublin,A96NX44,53.276457,-6.129831,Sallynoggin_Killiney_DLR,Dun Laoghaire Rathdown,MR. ALAN COX,admin@rathdownschool.ie,012853133,Mixed,Mixed,Secondary,Y,N,N,N,No subjects taught through Irish,CHURCH OF IRELAND,252,112,364
