Total Enrolment in Special Schools for the 2023/2024 school year (enrolment is as of 30th September 2023),,,,,,,,,,,,,,,,,,,,,,,,
Academic Year (Enrolment),Roll Number,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),County Description,Eircode,School Latitude,School Longitude,School Planning Area,Email,Phone No.,Principal Name,Local Authority Description,DEIS (Y/N),Irish Classification Description,Gaeltacht Indicator (Y/N),Island (Y/N),Ethos Description,Patron,Female,Male,Total
2023,17890H,Hospital School CHI at Temple Street,TEMPLE STREET,DUBLIN 1,,,Dublin,D01YC67,53.356892,-6.262045,Drumcondra_Marino_Dublin1,ann.higgins@cuh.ie,018784630,Ann Higgins,Dublin City Council,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,44,46,90
2023,17971H,ST MICHAELS SPEC SCHOOL,Glenmaroon,Chapelizod,Dublin 20,,Dublin,D20A072,53.35608,-6.35501,Castleknock_D15,principalgorevan@gmail.com,018201859,Sharon Gorevan,Dublin City Council,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,78,92,170
2023,18208A,OUR LADY OF GOOD COUNSEL NS,Innishmore,Ballincollig,Cork,,Cork,P31FH22,51.889555,-8.607445,Ballincollig,principal@olgcschool.ie,0214878370,Aisling Power,Cork City Council,N,No subjects through Irish,N,N,Catholic,Bishop of Cork & Ross,20,48,68
2023,18210K,St Michaels House Special School,Willie Nolan Road,Baldoyle,Dublin 13,,Dublin,D13W9R0,53.398522,-6.12809,Donaghmede_Howth_D13,baldoyleschool@smh.ie,018323043,Anna Lambard Perito,Fingal County Council,N,No subjects through Irish,N,N,Multi Denominational,St Michael's House,24,33,57
2023,18281K,MARINO SCHOOL N.S.,Church Road,Bray,Co. Wicklow,,Wicklow,A98TW99,53.198093,-6.111058,Bray,office@marinoschool.ie,012829807,Oonagh Kenny,Wicklow County Council,N,No subjects through Irish,N,N,Catholic,Enable Ireland Disability Services ,9,39,48
2023,18317F,CENTRAL REMEDIAL CLINIC,VERNON AVENUE,CLONTARF,DUBLIN 3,,Dublin,D03K298,53.368955,-6.201483,Killester_Raheny_Clontarf,mbcollins@crc.ie,018542230,Mary Collins,Dublin City Council,N,No subjects through Irish,N,N,Catholic,Central Remedial Clinic ,28,60,88
2023,18370J,Enable Ireland Sandymount School,SANDYMOUNT AVENUE,DUBLIN 4,,,Dublin,D04XH22,53.329833,-6.218472,Dublin2_Dublin4,sandymountschool.office@enableireland.ie,012615907,Jennifer Doyle,Dublin City Council,N,No subjects through Irish,N,N,Catholic,Enable Ireland Disability Services ,20,26,46
2023,18408I,NEW COURT SCHOOL,Newcourt Road,Bray,Co. Wicklow,,Wicklow,A98DW68,53.189308,-6.101024,Bray,office@newcourt.ie,012860468,Mary Lundy,Wicklow County Council,N,No subjects through Irish,N,N,Multi Denominational,Sunbeam House Services,31,69,100
2023,18417J,ST JOSEPHS FOR BLIND NS,ST JOSEPHS SCHOOL FOR,VISUALLY IMPAIRED BOYS,DRUMCONDRA,DUBLIN 9,Dublin,D09C803,53.370146,-6.246796,Drumcondra_Marino_Dublin1,principal@stjosephsprimaryvi.ie,018373696,Muriel Weekes,Dublin City Council,N,No subjects through Irish,N,N,Catholic,Archbishop of Dublin,22,28,50
2023,18458A,ST BERNADETTES SPEC SCH,Bonnington,Montenotte,Co. Cork,,Cork,T23TK31,51.907394,-8.437636,Montenotte_CorkCity,office@scoilbernadette.com,0214508256,Don Golden,Cork City Council,N,No subjects through Irish,N,N,Catholic,Bishop of Cork & Ross ,49,80,129
