"id","school_id","name","county","address","eircode","school_type","contact_email","contact_name","created_at","last_updated_at"
"1","70400L","Borris College","Carlow","Borris, Co Carlow","R95Y778","secondary","pat.coffey@borriscollege.ie","Pat Coffey","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"2","91356F","Tullow C.S","Carlow","The Mullawn, Tullow, Co. Carlow","R93DT20","secondary","info@tullowcs.ie","Mr Noel Murphy","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"3","91351S","Bailieborough Community School","Cavan","Bailieborough, Co Cavan","A82P585","secondary","info@bailieborocs.ie","Dr Miriam Nugent","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"4","","Limerick and Clare Education and Training Board in Adult Education","","","","unknown","","","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"5","71200I","Errigal College, Letterkenny,","Donegal","Windyhall, Letterkenny, Co Donegal","F92FC82","secondary","dannymcfadden@donegaletb.ie","Danny McFadden","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"6","71180F","Abbey Vocational School","Donegal","The Glebe, Donegal Town, Co. Donegal","F94A409","secondary","abbeyvs@donegaletb.ie","Alan Thompson","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"7","76293U","Kingswood CC","Dublin","Ballymount Road, Kingswood Heights, Tallaght, Dublin 24","D24HYN2","secondary","info@kingswoodcc.ie","Deborah Dunne","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"8","76062B","Castleknock CC","Dublin","Carpenterstown Road, Castleknock, Dublin 15","D15A996","secondary","admin@castleknockcc.ie","John Cronin","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"9","","SACS,Tallaght","","","","unknown","","","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"10","60491L","St. Declans College Cabra","Dublin","Nephin Road, Cabra, Dublin 7","D07NN63","secondary","info@stdeclanscollege.ie","Eibhlín O'Reilly","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"11","76152C","Kishoge","Dublin","Thomas Omer Way, Lucan","K78DC89","secondary","reception@kishogecc.ie","Niall Hare","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"12","70150O","Cabra community college","Dublin","Kilkieran Road, Cabra, Dublin 7","D07XC84","secondary","info@cabracc.cdetb.ie","Mr Neil Flatherty","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"13","76130P","Luttrellstown community college","Dublin","Luttrellstown Community College, Porterstown Road, Clonsilla, Dublin 15","D15DY29","secondary","info.luttrellstowncc@ddletb.ie","Siobhán Moran","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"14","91305L","Ballinteer CC","Dublin","Broadford Road, Ballinteer, Dublin 16","D16XF79","secondary","admin@ballinteercs.ie","Ms Amy Doherty","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"15","61010U","Wesley College","Dublin","Ballinteer, Dublin 16","D16NX73","secondary","info@wesleycollege.ie","Mr Brian Moore","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"16","68083N","Le Chéile Secondary School","Dublin","Hollystown Road, Tyrrelstown, Dublin 15","D15NX98","secondary","admin@lecheilesecondaryschool.ie","Leona Harrington (Acting)","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"17","","Pobailscoil Neasáin, Baldoyle, Dublin 13.","","","","unknown","","","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"18","76097U","Adamstown CC","Dublin","Station Rd, Adamstown, Lucan, Co. Dublin","K78WP89","secondary","info.adamstowncc@ddletb.ie","Adrian Flynn","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"19","60500J","Marian College","Dublin","Ballsbridge, Dublin 4","D04W268","secondary","principal@mariancollege.ie","Mr Pat Glover","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"20","68308L","Malahide Portmarnock Educate Together Secondary School","Dublin","Swords Enterprise Park, Feltrim Road, Drinan, Swords, Co Dublin","K67W9Y8","secondary","jmward@mpetss.ie","Jean Marie Ward","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"21","81002K","Mount Temple","Dublin","Malahide Road, Dublin 3","D03DX79","secondary","office@mounttemple.ie","David Bane","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"22","60910F","Alexandra College","Dublin","Milltown, Dublin 6","D06KX50","secondary","info@alexandracollege.ie","Mrs Barbara Ennis","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"23","11583O","St Andrews Booterstown","Dublin","Church Road, Malahide, Co. Dublin","K36HD54","primary","principal@standrewsns.ie","Lesley McElhinney","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"24","70120F","St Finians CC","Dublin","Castlefarm, Swords, Co Dublin","K67YN93","secondary","stfinians@ddletb.ie","John Paul Reilly","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"25","68346T","Belmayne Educate Together Secondary School","Dublin","Belmayne Avenue, Dublin 13","D13H2VR","secondary","info@belmayneetss.ie","Ms Aisling Keaveney","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
"26","91342R","Pobalscoil Neasain","Dublin","School Lane, Baldoyle, Dublin 13","D13F9K2","secondary","office@psn.ie","Ms karol Sadleir","6/22/2026 11:02 AM","6/22/2026 11:02 AM"
